,x,y
0,-40.0,-60.0
1,-39.51402122846824,-59.6132309583329
2,-39.03914130639215,-59.217721734965004
3,-38.554000789818545,-58.82965819152643
4,-38.07365402031358,-58.43748050809301
5,-37.59815573931595,-58.041291790346094
6,-37.12617682333939,-57.64220030939328
7,-36.64635781904722,-57.24854790974587
8,-36.17583650025868,-56.847530523919964
9,-35.70540823307588,-56.4460797824085
10,-35.235082367122054,-56.044125345070825
11,-34.75935921018128,-55.64554108086522
12,-34.28986714649393,-55.24159553018601
13,-33.82765557684734,-54.83180038168621
14,-33.359525712004285,-54.425529893614275
15,-32.89865076959581,-54.01301740910042
16,-32.43740742811556,-53.59961114363251
17,-31.978132608099084,-53.18292768287047
18,-31.53005550254111,-52.75535577281466
19,-31.10058551605027,-52.30911947949311
20,-30.637754972116046,-51.895191718421465
21,-30.176188054382212,-51.480023096833236
22,-29.722410959522254,-51.059283273892
23,-29.26381350402448,-50.641446770401465
24,-28.80595899641173,-50.22269969483576
25,-28.355630480063375,-49.798592319019576
26,-27.897268682238334,-49.379411352773474
27,-27.44577305207672,-48.95515531311061
28,-26.994080396506234,-48.53055544707921
29,-26.54048412486966,-48.10662577707044
30,-26.100090824071835,-47.67365078762569
31,-25.65542507965885,-47.24294891035422
32,-25.20488187604842,-46.81530401582987
33,-24.761749997752027,-46.381876732150445
34,-24.320421955920512,-45.94628792175303
35,-23.883463599611467,-45.50670666135336
36,-23.445667775237165,-45.06595982155636
37,-23.020602168551587,-44.614776954162025
38,-22.615243970531722,-44.14889203397863
39,-22.03991563840642,-44.38010780530331
40,-21.464388873724566,-44.61242575692089
41,-20.88737055695291,-44.83675295123021
42,-20.31034937142361,-45.06363172783006
43,-19.732079180744606,-45.28409442975936
44,-19.153752886569286,-45.50716781220663
45,-18.57369089969212,-45.71972125069546
46,-17.993680938706326,-45.935817613976276
47,-17.413034982418033,-46.15107297556931
48,-16.83163868026537,-46.3656597743005
49,-16.248124111499738,-46.56789184799966
50,-15.66427154078579,-46.77302470221796
51,-15.07931621114086,-46.97890183175779
52,-14.491323304523641,-47.17580932999483
53,-13.897885331702193,-47.348925275064744
54,-13.319845447518604,-47.576510931327896
55,-12.739973308210455,-47.792664142833964
56,-12.160615037513168,-48.01560557067338
57,-11.580719411539164,-48.23798828915314
58,-10.998787748417524,-48.446921091854016
59,-10.416810403699081,-48.65854279332608
60,-9.834757909884452,-48.87372333684737
61,-9.25175995550901,-49.08635285461929
62,-8.66749031401946,-49.29398308552625
63,-8.082749575273866,-49.50496276737414
64,-7.495739232374984,-49.70518295425954
65,-6.907078766916336,-49.90010059090936
66,-6.315870899139928,-50.07932731444714
67,-5.723658738594163,-50.26316869900261
68,-5.126753088584891,-50.435889633547504
69,-4.665907926327403,-50.0199943947284
70,-4.20438693622423,-49.604195163220815
71,-3.744947544939425,-49.18659008639586
72,-3.2873913309690272,-48.76732444458041
73,-2.8271054224910483,-48.34946335069948
74,-2.371374956519573,-47.92805877496296
75,-1.9253141744598916,-47.49996960624038
76,-1.472668787533703,-47.075783935994444
77,-1.0217585793071966,-46.64996120962031
78,-0.578754341102248,-46.21861242450282
79,-0.12990455881631818,-45.79053702714398
80,0.30986266082758085,-45.35614487008515
81,0.7525370080982592,-44.9230777327211
82,1.2012665979525052,-44.49307543740129
83,1.6334892698966499,-44.051785486349964
84,2.0747302845361597,-43.61525756347406
85,2.5101236387737123,-43.173589155855474
86,2.9387661112213466,-42.726021509187014
87,3.355789292945194,-42.269330936233985
88,3.763910760939002,-41.80408326084011
89,4.351245037498617,-41.60294160739112
90,4.938871878854237,-41.40150588267152
91,5.521464264223544,-41.19157902165938
92,6.100051979425773,-40.97514158488903
93,6.683175768597049,-40.76494705434375
94,7.261291746243971,-40.546567840064014
95,7.842948166880517,-40.332776091805066
96,8.42494933385084,-40.11847812853965
97,9.00338891206891,-39.89774206708323
98,9.579322957345108,-39.67229543108907
99,10.152457279954778,-39.44179852021725
100,10.73171582864591,-39.218753365806904
101,11.30108380807831,-38.97900989996675
102,11.870356418450413,-38.73698506584538
103,12.437352816445799,-38.4868282126952
104,12.881537488142936,-38.057646413574865
105,13.33614115050939,-37.6349446942074
106,13.792633610901555,-37.21310593302214
107,14.238330576558814,-36.783895573449975
108,14.685548050572672,-36.355368937381165
109,15.138702125477712,-35.9302917175207
110,15.589892313227477,-35.503429068694345
111,16.037732519250607,-35.07389699965164
112,16.487541795748353,-34.64507961578772
113,16.936473580160477,-34.21503108919883
114,17.379564007977404,-33.7805790629851
115,17.81259578833997,-33.33938446374803
116,18.252441658478407,-32.901798665718005
117,18.682832181058448,-32.45774435738846
118,19.112562366454423,-32.01267556055508
119,19.536494158368203,-31.563495927814966
120,19.958389175279958,-31.112453724903432
121,20.388125991661923,-30.664892023995925
122,20.80242037325489,-30.205903020162598
123,21.21371343844693,-29.742063837303466
124,21.832878167522185,-29.782518506699112
125,22.45243997701871,-29.822872140974308
126,23.071029697386553,-29.855471709824727
127,23.690297868788207,-29.889523632790958
128,24.309604674293823,-29.92113371913809
129,24.927671698007916,-29.94390215301679
130,25.54762583918276,-29.973795991525705
131,26.165115429437467,-29.98831117579103
132,26.783086402108434,-30.003027972927917
133,27.40279838612831,-30.022870902395976
134,28.021579617807884,-30.03315533489881
135,28.64227551300368,-30.046457040783377
136,29.261502095994803,-30.042513358795
137,29.879995600018855,-30.022471287186605
138,30.345862378773184,-29.611550333994302
139,30.80278011501214,-29.193613549706644
140,31.25943951134266,-28.77475466852005
141,31.71031109255721,-28.3511511186342
142,32.16776378446733,-27.930915854640517
143,32.620299889377584,-27.505484018254258
144,33.064223928024944,-27.071933291240693
145,33.48915655686586,-26.623345788498906
146,33.90421538985802,-26.164283856913634
147,34.15770119627352,-25.599148278103037
148,34.418160143269006,-25.034993384494854
149,34.67478383152915,-24.469634409455736
150,34.92482580869233,-23.902618817847628
151,35.177112166900585,-23.335574451323346
152,35.426982144485535,-22.76755575961258
153,35.662628446931976,-22.196663011279174
154,35.903388502554364,-21.626225051298096
155,36.139748136904366,-21.054538469506337
156,36.37641853797202,-20.482312690137245
157,36.613642350203804,-19.909352812842027
158,36.83815815830554,-19.333411808443213
159,37.07169719406149,-18.757695740744595
160,37.28775415153554,-18.176877711617827
161,37.482689886068606,-17.590082935854984
162,38.077239333145364,-17.414348107433902
163,38.67321622811769,-17.239257644286262
164,39.26390211469984,-17.052666115536027
165,39.85301022363782,-16.86108372971868
166,40.44315334018258,-16.667705410012207
167,41.02089598004406,-16.447954214551515
168,41.62688115287284,-16.32709750828319
169,42.23710429619183,-16.214144438718318
170,42.848283239553616,-16.10039531484068
171,43.452911559996295,-15.968583121285409
172,44.06008460116439,-15.838629064845366
173,44.66371943934632,-15.6934650706324
174,45.25154010369068,-15.50068573045219
175,45.78567548821728,-15.184449605010268
176,46.32014558023273,-14.867150168268804
177,46.84292217904765,-14.536442316879684
178,47.36032862922248,-14.199370166103416
179,47.881658829517406,-13.86471127224467
180,48.40118606387408,-13.524842012080079
181,48.898793505100514,-13.155271565424114
182,49.14208117592224,-12.583304112767337
183,49.3809859720396,-12.010232835968516
184,49.61202972537154,-11.43561683492165
185,49.843148429314894,-10.860693613919171
186,50.06792729359584,-10.28455826089163
187,50.288153499169084,-9.707563153120912
188,50.51445026673935,-9.131081845495222
189,50.74352194241858,-8.554520092835055
190,50.96932337393883,-7.976899247155848
191,51.19713435510644,-7.398858658412609
192,51.411478934113156,-6.818233626388417
193,51.63416814173773,-6.237876290180669
194,51.8359158353399,-5.65386634136675
195,52.04345546438998,-5.069584653876843
196,52.23739889155133,-4.482171237488905
197,52.42524853459215,-3.8920195819589853
198,52.590698551621465,-3.292920017672133
199,52.920488029751446,-2.7699352554613075
200,53.26067161397289,-2.250145868319025
201,53.60006121331305,-1.7293977260481896
202,53.93085271347932,-1.2049348707557974
203,54.252294876636675,-0.6767753498723589
204,54.56921579998419,-0.14670439044173733
205,54.884845779400735,0.38424407970691843
206,55.20151374752138,0.9154992460673541
207,55.513335528267596,1.4492181597143134
208,55.833382460794496,1.9817786634066175
209,56.13483381129695,2.5240662624452552
210,56.437629927418854,3.065145165070413
211,56.740963991108714,3.6064855263735187
212,57.0317517678353,4.151592512493821
213,57.32440324201175,4.696501993511046
214,57.6248791265134,5.23974905768527
215,57.918935566801274,5.785360708488869
216,58.20728373882753,6.333041427297905
217,58.49826171960258,6.880680782997992
218,58.77709594036428,7.4321399286783105
219,59.0595610625418,7.983414356180827
220,59.34042916352429,8.536302905741056
221,59.61076493453742,9.093503755401455
222,59.875581757796674,9.654558048938235
223,60.097013610835724,10.231665975227836
224,59.73188986718901,10.731084341442761
225,59.37062556249087,11.235439159756307
226,59.00585503216613,11.736193851279657
227,58.64419604711022,12.241134159646995
228,58.28172234732818,12.745838432700532
229,57.91077197437408,13.2411808217834
230,57.54566165851615,13.744130653417987
231,57.17261528953614,14.238478895947985
232,56.79601424805798,14.72916110097959
233,56.42091313648483,15.222438631969087
234,56.03966807243801,15.709034798226188
235,55.66262920647173,16.20183553817334
236,55.279177155696125,16.688292661285153
237,54.888998507069104,17.167796078354186
238,54.49640765924153,17.64593690529579
239,54.1016434648644,18.124482525115578
240,53.682059072472846,18.578676755177437
241,53.45173534838688,19.155880846952893
242,53.2165589137775,19.729895961137295
243,52.975318387982526,20.299695898722977
244,52.7362466126353,20.871337074967588
245,52.49270395548271,21.439893513933413
246,52.250133703084394,22.00941160074037
247,52.006922091584244,22.57871473084461
248,51.75951537475737,23.14510229256538
249,51.5175729091199,23.715885017853953
250,51.2730303845467,24.285096798110388
251,51.02739838839175,24.853867002389464
252,50.77925948458289,25.42113459726607
253,50.53074555993722,25.988531125727864
254,50.27726745901392,26.552542764391212
255,50.025785085774864,27.118524053628363
256,49.77320353669829,27.6842233808929
257,49.52094334931704,28.250848394396396
258,49.26682702844943,28.8169059374817
259,49.00882698089169,29.380965821569923
260,48.74321026185959,29.940095781308838
261,48.47792322121765,30.50066326702997
262,48.21022155693978,31.06119334913359
263,47.93069925640648,31.615094878021246
264,47.633497538539075,32.15842314899045
265,47.192066514851795,32.59199294834509
266,46.75386149501323,33.03152760393586
267,46.30892498071431,33.46054436681746
268,45.86481870550931,33.891545291344094
269,45.419938638472125,34.32196103188367
270,44.973934249072165,34.75129443208865
271,44.524755057465704,35.17604431524999
272,44.078536024591926,35.60688404265088
273,43.62478675436212,36.02605865485337
274,43.177285401093364,36.45742885922892
275,42.71933262959642,36.873242015088984
276,42.26062706500946,37.290034984707034
277,41.79613348665264,37.70062960788343
278,41.317827599788785,38.09321130121015
279,40.73113087013517,38.28956663135645
280,40.14439639067367,38.490062290745904
281,39.55641478885336,38.68191688643431
282,38.96785465803856,38.87190295243082
283,38.37933660307133,39.06941581616414
284,37.788938212225915,39.254275734905974
285,37.19799280581046,39.44279854134092
286,36.60510544661236,39.62209025021468
287,36.01012954279179,39.78940522289629
288,35.41329518459678,39.95443979299893
289,34.81022321541859,40.09520382091141
290,34.349309270288416,40.51203085563663
291,33.88004077469073,40.91387893613413
292,33.41551392600343,41.32558356856053
293,32.946631738614556,41.73006831622993
294,32.47691659121657,42.13396305544218
295,32.00977738363461,42.54417111908809
296,31.539284342493545,42.94996538479086
297,31.066199993627794,43.35301596077392
298,30.588661619361257,43.75005982046534
299,30.103099787142817,44.133699516768324
300,29.614084110623715,44.51300934494222
301,29.12355825807166,44.894420466546855
302,28.608092918476913,45.23700895230317
303,28.241208513642636,45.73834944569718
304,27.8641143750066,46.22777887977734
305,27.49355202967059,46.725642430023655
306,27.12127827256573,47.222093603313525
307,26.742385287032278,47.71100989346001
308,26.360280568902322,48.1963354702889
309,25.978705452930793,48.682786251272184
310,25.604346586085818,49.17891666205873
311,25.222073362648494,49.66639430723503
312,24.835513123942608,50.14936391448833
313,24.44843026349593,50.63265628849675
314,24.059888725523948,51.1154414591566
315,23.66777867339129,51.59549609423348
316,23.273516819706003,52.07547437592322
317,22.862944122783297,52.53827050730075
318,22.445721877824997,52.99898129883569
319,21.987632313933226,53.41538984991454
320,21.528756137772405,53.83102562522832
321,21.07238555170731,54.252050214824656
322,20.612066092718837,54.66696228919266
323,20.15136523124715,55.08223010782853
324,19.68680187845752,55.491491603815334
325,19.223043581035427,55.903520375179006
326,18.75594200676684,56.310935665361164
327,18.28331441819811,56.70934677610918
328,17.810939361247982,57.10994690559185
329,17.33235201778246,57.50075190427556
330,16.85098711799147,57.88865353082592
331,16.363284906252105,58.26890876738686
332,15.770278821536289,58.442664698223176
333,15.176986326635143,58.61678664113926
334,14.583584050026692,58.796817818536134
335,13.989728047466803,58.980661164524484
336,13.394404483613776,59.15453456341431
337,12.79792869685295,59.32110677457061
338,12.20042431891855,59.4826552790964
339,11.601754052386969,59.6368152093607
340,11.001884546079287,59.7838380315915
341,10.400438206509943,59.93455676165454
342,9.792165048335592,60.05442718363085
343,9.186777011960542,59.925312662018825
344,8.578461205196929,59.80157593813123
345,7.970078566518609,59.67689832863461
346,7.361546775548818,59.55130608966223
347,6.755641175911185,59.418921534779386
348,6.1505663023594614,59.283618194781496
349,5.544696637479751,59.148555582064574
350,4.944159580896098,59.00138436296811
351,4.340487589541365,58.85908569407866
352,3.740155052414158,58.70829206320533
353,3.137859362611673,58.55919319970685
354,2.5365290009763655,58.40470066667241
355,1.9390841726639598,58.237745082071136
356,1.346251482483493,58.05413548080907
357,0.7611800660332245,57.85372265870292
358,0.1780228115563982,57.649938890787155
359,-0.40846336465238386,57.45089924998921
360,-0.9961745061223805,57.25312237867445
361,-1.5836732238097058,57.05418628734999
362,-2.1663862701631706,56.84699683446528
363,-2.747840751695578,56.63725861324568
364,-3.330632042220979,56.428843851527716
365,-3.9106762981360976,56.21539183034915
366,-4.492672061479899,56.003952703881325
367,-5.073548237109066,55.78944889746059
368,-5.657044153097879,55.57706247293611
369,-6.236082813882958,55.35498852606777
370,-6.814508635567914,55.128094214460425
371,-7.375427471698098,54.8696344316643
372,-7.881570017966399,54.514523649313325
373,-8.385134606941628,54.15693662890994
374,-8.895454450740498,53.80500307124004
375,-9.400880515269423,53.4483691221198
376,-9.91372133480073,53.09789120284726
377,-10.422630390157293,52.74331392875555
378,-10.927192051050453,52.384397734106074
379,-11.434419990440501,52.027270591700315
380,-11.937651991840731,51.66601305175558
381,-12.445637624308949,51.30816894894342
382,-12.947763954174155,50.94426716776262
383,-13.44889020908312,50.578556602023504
384,-13.94323489962997,50.20608285459953
385,-14.438000459960165,49.832899589126946
386,-14.922573320356308,49.45009745987423
387,-15.415727094509544,49.07288270102675
388,-15.894132373318634,48.68021143882394
389,-16.36501362214811,48.27597604195302
390,-16.79412211028408,47.83056395898969
391,-17.230506954696946,47.38920040699932
392,-17.66260038909729,46.94496631385791
393,-18.096201235705525,46.501307005829325
394,-18.52195377446838,46.05276551987239
395,-18.947459089292984,45.60383529511894
396,-19.382627076896256,45.16019896760048
397,-19.808059349684434,44.71041867509698
398,-20.235892024161085,44.261628152256876
399,-20.665962635967364,43.81362379778272
400,-21.09151453919601,43.3624102502984
401,-21.518705819929956,42.91150494009759
402,-21.9425997874407,42.457945519012966
403,-22.36109097563964,42.000560709276826
404,-22.77492552567309,41.53984174937053
405,-23.19214659265219,41.080072849387015
406,-23.598343593410057,40.613118402261115
407,-24.00423178309177,40.144803661313084
408,-24.401545485093138,39.670221041420746
409,-24.789375114738604,39.18843659439667
410,-25.155201311122962,38.690693918180614
411,-25.682435473365814,38.36598622331592
412,-26.21129009575112,38.04249670023469
413,-26.733184118777356,37.711803977458494
414,-27.25936608343783,37.38494636160698
415,-27.780105308938378,37.052394579422604
416,-28.30281477202809,36.72137609018989
417,-28.826008606592737,36.39034306874743
418,-29.353215790808854,36.0625858750772
419,-29.880938694852432,35.734407273677284
420,-30.40004468837806,35.3968837773046
421,-30.922747452193708,35.061875816931895
422,-31.435122228151336,34.71595534369752
423,-31.953033702288906,34.374133060320375
424,-32.46569272099902,34.02550143667511
425,-32.970784969644576,33.66772983565139
426,-33.46689625716097,33.29921391437573
427,-33.95090516664201,32.914711381292065
428,-34.54214299798823,32.72714720741779
429,-35.13337740178827,32.53885268652745
430,-35.718153606138394,32.33952559575195
431,-36.30345993923272,32.14057936675648
432,-36.89468276445809,31.95043686974152
433,-37.48493019540743,31.757565516325588
434,-38.072025590645616,31.558463570138503
435,-38.659248463351446,31.35838690494485
436,-39.23999514487058,31.147053461220093
437,-39.82820955391248,30.946079354695065
438,-40.40900887641614,30.73140395218216
439,-40.991263057256475,30.516850278315456
440,-41.572121068690684,30.296638430673752
441,-42.14174188978819,30.05458160793818
442,-42.70483737167293,29.79445221297022
443,-43.223643723874645,29.45884525633818
444,-43.74149624615181,29.12209918655688
445,-44.26290523887949,28.788435022298195
446,-44.78669609347961,28.456630951880012
447,-45.31167583971777,28.125421290215062
448,-45.829094228940804,27.786432893488527
449,-46.34760090361175,27.44800109501616
450,-46.86379589031237,27.106856911661154
451,-47.38640291437711,26.77109253505822
452,-47.90099480594715,26.426836783142548
453,-48.42102805811898,26.08674269410212
454,-48.938303415320036,25.742603747693856
455,-49.4508816105065,25.392435968307552
456,-49.95419023912089,25.032136886739057
457,-50.45195382655007,24.66525349620759
458,-50.94887889427523,24.29506887306519
459,-51.42541599300583,23.900080144097654
460,-51.999755770192486,23.66454091659005
461,-52.57243650929933,23.426083317059373
462,-53.145117215900996,23.186958975450068
463,-53.713007618040656,22.940741259004625
464,-54.28215306317158,22.69559169948775
465,-54.85149118149613,22.44994821772918
466,-55.418255474336036,22.20007039481824
467,-55.983929181557414,21.94793337407207
468,-56.552334427844535,21.69834865744129
469,-57.11146931975771,21.435613711504715
470,-57.672623886513485,21.17452502591256
471,-58.234134840941316,20.912419013764087
472,-58.793626472022964,20.645579537951306
473,-59.351111236277,20.372942487960977
474,-59.89198824410819,20.0746691758673
475,-59.76206149913905,19.46994247686881
476,-59.63813997296025,18.86206101592754
477,-59.51692220003588,18.252496776430185
478,-59.37948466278049,17.650340138998622
479,-59.255186771268995,17.041485677902728
480,-59.11895376710353,16.437878382188437
481,-58.98154476570059,15.834470234659603
482,-58.84357246244646,15.230903865513152
483,-58.701124645313115,14.629097642830148
484,-58.558909455691264,14.026669472993605
485,-58.41616551485276,13.423844987470881
486,-58.27356261218482,12.820059332417824
487,-58.13028888237705,12.215321959611256
488,-57.96640765160907,11.619697630322602
489,-57.80584593772188,11.021014138331525
490,-57.63041990053807,10.427400485329805
491,-57.43645961633162,9.837425067405873
492,-57.36195934462178,9.222540588413743
493,-57.289351100989016,8.606755422262847
494,-57.22044001429009,7.98936887093592
495,-57.13713920205239,7.37724533761892
496,-57.06105381205683,6.7621598452914995
497,-56.98669032923186,6.146180270300544
498,-56.910081684158314,5.530780795414986
499,-56.83525293538506,4.9144193763308595
500,-56.75363924840791,4.300358205008747
501,-56.6714153119059,3.6862680165647754
502,-56.591251081446146,3.071071616855721
503,-56.50173202250429,2.4592623844300157
504,-56.4167043796551,1.8453822562539526
505,-56.32508261540687,1.23382096946713
506,-56.23610638211307,0.6208783209090925
507,-56.1497198397707,0.006477153740034214
508,-56.062750134881355,-0.6082411625223002
509,-55.96438609414379,-1.2188740964971485
510,-55.862082849389616,-1.8282503755089414
511,-55.769729166057544,-2.442279329195884
512,-55.67473150557671,-3.0561863582298487
513,-55.563587606041885,-3.6642709935055073
